Index,QuestionId,AskerId,AskerName,QuestionTitle,answer_id,AnswererId
1,58441514,10133797,OverLordGoldDragon,Why is TensorFlow 2 much slower than TensorFlow 1?,58653632,10133797
2,58441514,10133797,OverLordGoldDragon,Why is TensorFlow 2 much slower than TensorFlow 1?,58653636,10133797
3,58378374,2593810,off99555,Why does keras model predict slower after compile?,58378941,10133797
4,58378374,2593810,off99555,Why does keras model predict slower after compile?,58385156,10133797
5,58276337,2066786,rmccabe3701,Proper way to feed time-series data to stateful LSTM?,58277760,10133797
6,58279628,10133797,OverLordGoldDragon,What is the difference between tf.keras and tf.python.keras?,58279629,10133797
7,58433555,10629062,Code Now,Why are my results still not reproducible?,58444460,10133797
8,58620552,4684861,Mohamed Thasin ah,tf.reshape is not giving ?(None) for first element,58622508,1665160
9,58620552,4684861,Mohamed Thasin ah,tf.reshape is not giving ?(None) for first element,58622067,1782792
10,58237726,8733347,Pouteri,Keras model fails to decrease loss,58248902,10133797
11,58237726,8733347,Pouteri,Keras model fails to decrease loss,58238191,6590393
12,58629848,12205961,HDB,"How to fix this error: list indices must be integers or slices, not tuple",58631713,4228275
13,58629848,12205961,HDB,"How to fix this error: list indices must be integers or slices, not tuple",58630439,12297767
14,58356868,2991243,user2991243,How visualize attention LSTM using keras-self-attention package?,58357581,10133797
15,58303778,866082,Mehran,What is the right way to manipulate the shape of a tensor when there are unknown elements in it?,58304599,2097240
16,58210700,11861082,Albert,Are these models equivalent?,58210853,10133797
17,58455765,7672661,ibvfteh,Keras sees my GPU but doesn&#39;t use it when training a neural network,58455845,2174693
18,58239781,11552661,tbone,KeyError: &#39;filename&#39; (Pandas),58240114,4238408
19,58607510,9624112,Tanya,different results for the same code with tf.control_dependencies,58608645,10418086
20,58607510,9624112,Tanya,different results for the same code with tf.control_dependencies,58608203,1782792
21,58344477,4146344,Dang Manh Truong,Keras image classification: High accuracy shown but low on test images,58392540,2097240
22,58227802,5601592,Sus20200,Implementing clipping function using Keras backend,58337563,12192957
23,58227802,5601592,Sus20200,Implementing clipping function using Keras backend,58231450,9828197
24,58499119,9268287,vincent,TypeError: Cannot convert 0.0 to EagerTensor of dtype int32,58499721,9268287
25,58291184,9855577,Umair Javaid,Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?,58292028,10133797
26,58291184,9855577,Umair Javaid,Keras: Getting different accuracy using model.train_on_batch() and model.fit(). What could be the reason and how to fix that?,58291756,7212365
27,58631088,2905222,Brandon,"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?",58631965,4531017
28,58631088,2905222,Brandon,"Why are my neural network predictions correct when applied to MNIST hand-drawn images, but incorrect when applied to my own hand-drawn images?",58631264,11744692
29,58505880,11929946,piljae.chae,Tensorflow 2.0 dataset and dataloader,58507709,6923568
30,58505880,11929946,piljae.chae,Tensorflow 2.0 dataset and dataloader,58506005,1553225
31,58433022,10371314,Codie,Keras: Over fitting Conv2D,58455292,10133797
32,58433022,10371314,Codie,Keras: Over fitting Conv2D,58434402,12118774
33,58433022,10371314,Codie,Keras: Over fitting Conv2D,58433206,12023442
34,58418290,4980684,tkupek,Regularization of over-excited activation values in Tensorflow 2.0 Keras,58418425,774331
35,58381152,4607066,ChosunOne,What is causing large jumps in training accuracy and loss between epochs?,58385932,4607066
36,58381152,4607066,ChosunOne,What is causing large jumps in training accuracy and loss between epochs?,58382755,12118774
37,58333491,9119995,HoiM,What does experimental in TensorFlow mean?,58333539,10133797
38,58254885,11368194,hR 312,Error in build while using keras custom layer,58271055,11207938
39,58254885,11368194,hR 312,Error in build while using keras custom layer,58258118,5597718
40,58625549,132785,Neil,Implicitly enable TensorFlow v2 behaviour in TensorFlow v1,58625794,1782792
41,58570923,11573842,Yatin,"Getting &quot; ValueError: Output of generator should be a tuple `(x, y, sample_weight)` or `(x, y)` &quot; while",58571080,11220884
42,58502540,5808336,Milton,Training does not complete it&#39;s first epoch in Tensorflow 2.0,58506594,1190882
43,58396132,2061651,josteinb,Broadcasting dynamic dimension in Tensorflow,58398203,1782792
44,58369040,11901732,nilsinelabore,When and why do we use tf.reduce_mean?,58379534,2912518
45,58369040,11901732,nilsinelabore,When and why do we use tf.reduce_mean?,58371658,8366805
46,58347572,9035706,Eerik Sven Puudist,TensorFlow: classify image,58348048,12014856
47,58291557,2049763,Mazhar,TensorFlow object detection API evaluate training performance,58448463,8152837
48,58603755,12244488,eaindra,Why do these error messages show up in Compilation,58603845,10418086
49,58602039,3899975,A.E,how to add list of arrays (tensors),58602316,3250829
50,58566096,11861082,Albert,Custom loss function that updates at each step via gradient descent,58647668,2097240
51,58564613,2886575,Scott,tensorflow boolean_mask inverse?,58565329,7212365
52,58564613,2886575,Scott,tensorflow boolean_mask inverse?,58564859,2886575
53,58558004,238232,cnd,cPickle.PicklingError: Could not serialize object: NotImplementedError,58599907,10133797
54,58481332,6657314,Soulduck,Getting the indices of several elements in a Tensorflow at once,58483515,1782792
55,58453793,1543083,Ruben Kazumov,The clear_session() method of keras.backend does not clean up the fitting data,58467266,10133797
56,58453793,1543083,Ruben Kazumov,The clear_session() method of keras.backend does not clean up the fitting data,58464234,349130
57,58421182,12228795,Ot&#225;vio Augusto Silva,How to lock specific values of a Tensor in TensorFlow?,58422250,774331
58,58413230,12213054,gavasono,How to prevent keras from renaming layers,58428014,3214872
59,58376525,9299942,Sentinan,handle labels for a multi-headed CNN,58438992,9299942
60,58376525,9299942,Sentinan,handle labels for a multi-headed CNN,58378493,10133797
61,58306268,8334261,DocDriven,How to run training with pre-made dense layers in tensorflow 2.0?,58306464,4373898
62,58306268,8334261,DocDriven,How to run training with pre-made dense layers in tensorflow 2.0?,58306398,9393102
63,58300465,11687201,Sylvia,TensorBoard 2.0.0 not updating train scalars,58301505,2042297
64,58276718,2593878,dkv,How to load selected range of samples in Tensorboard,58430924,1782792
65,58244542,2066786,rmccabe3701,Tensorflow LSTM stateful option not maintaining state between batches,58244667,10133797
66,58215034,12157926,Bigfootso,Implementation of Python code which uses Tensorflow library into HTML?,58338717,12199329
67,58215034,12157926,Bigfootso,Implementation of Python code which uses Tensorflow library into HTML?,58215224,7553450
68,58197749,7238787,jabberwoo,Which version of TensorFlow.js is compatible with models trained in TensorFlow 1.12.0 (Python)?,58202111,1190882
69,58193588,9855577,Umair Javaid,Keras: How to get model predictions( or last layer output) in a custom generator during training?,58228704,10133797
70,58636087,6748145,Cutter,Tensorflow - ValueError: Failed to convert a NumPy array to a Tensor (Unsupported object type float),58667409,10133797
71,58436134,12229474,devnull,LSTM - Use deltaTime as a feature? How to handle irregular timestamps?,58437917,1358308
72,58436134,12229474,devnull,LSTM - Use deltaTime as a feature? How to handle irregular timestamps?,58436951,9594764
73,58401393,10371314,Codie,Keras: How can I comapre weights of different models?,58402706,10133797
74,58261348,10133797,OverLordGoldDragon,ValueError: Tried to convert &#39;y&#39; to a tensor and failed. Error: None values not supported,58279661,10133797
75,58228271,11861082,Albert,Keras backed taking the derivative of a function,58336137,12192957
76,58228271,11861082,Albert,Keras backed taking the derivative of a function,58229586,744616
77,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629454,11220884
78,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629433,8563649
79,58629296,7815941,Farnaz,Why do I need to reshape my input data to an additional dimension for Conv2D?,58629429,2846923
80,58436796,1892346,Shot,How to teach keras neural network to solve sqrt,58436941,8889727
81,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635583,10133797
82,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635578,523612
83,58635521,6748145,Cutter,Tensorflow - TypeError: &#39;int&#39; object is not iterable,58635565,11292489
84,58349239,7537870,DVK,How to customize Keras layer names and also have it automatically increment layer.name,58349308,10133797
85,58349239,7537870,DVK,How to customize Keras layer names and also have it automatically increment layer.name,58349602,7212365
86,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58337662,12192957
87,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58311694,12134850
88,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58265834,10411744
89,58227659,2034850,Alon Yampolski,Tensorflow structured data model.predict() returns incorrect probabilities,58228014,7212365
90,58591562,10392393,Azerila,How can we use lbfgs_minimize in TensorFlow 2.0,58593300,4615566
91,58591562,10392393,Azerila,How can we use lbfgs_minimize in TensorFlow 2.0,58592165,1782792
92,58527815,11355006,Benoni,How to preprocess and feed data to keras model?,58528879,8455692
93,58626275,4896449,dendog,Loading tensorflow 1.x.x model into tensorflow 2.x.x,58626757,1782792
94,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58576713,7331631
95,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58581961,5136550
96,58576446,12209793,Paul McBurney,"Error in Keras Digit Dataset: expected conv2d_input to have 4 dimensions, but got array with shape (60000, 28, 28)",58576453,1190882
97,58555825,1709088,user781486,Support tensorflow v1.x and v2.0 on same PC,58556122,423926
98,58544272,7296485,hinanmu,keras pre-trained model feed a new input placeholder,58553788,7296485
99,58544272,7296485,hinanmu,keras pre-trained model feed a new input placeholder,58547400,7331631
100,58544272,7296485,hinanmu,keras pre-trained model feed a new input placeholder,58546929,7212365
101,58544272,7296485,hinanmu,keras pre-trained model feed a new input placeholder,58544748,11220884
102,58508286,1487087,jw1294,TensorFlow Model not performing any training,58508551,4685471
103,58490213,11351872,derric-d,"Tensorflow module not found with tensorflow 2, where to find docs for new way?",58490451,8474894
104,58398790,635523,knub,Does Tensorflow have an inverse of tf.unravel_index?,58399997,1782792
105,58390337,826983,displayname,Add samples randomly from different datasets to retrieve a final dataset,58390691,5136550
106,58390337,826983,displayname,Add samples randomly from different datasets to retrieve a final dataset,58390519,3214872
107,58343266,2163392,mad,Weird error with training custom images with Xception CNN,58343463,5974433
108,58341433,2163392,mad,Error when running tensorflow in virtualenv: module &#39;tensorflow&#39; has no attribute &#39;truncated_normal&#39;,58342047,349130
109,58301646,1318499,user1318499,Train with target data generated within the model,58305504,2097240
110,58282208,10418086,stephen_mugisha,Running tensorflow-2.0 from docker container,58299136,4373898
111,58202708,6997665,learner,Gradient clipping error in Tensorflow v1.14,58203122,3337089
112,58644349,6997665,learner,Can the bias of a dense layer be set to zero in Tensorflow?,58644540,1782792
113,58633364,5925476,mnabil,Max pool a single image in tensorflow using &quot;tf.nn.avg_pool&quot;,58634102,7212365
114,58632268,6078821,Andy Carlson,Tensorflow - Unable to use a BasicLSTMCell with a MirroredStrategy distribution in Estimator,58650406,11372593
115,58631390,1719931,rtrtrt,What is the purpose of tf.compat?,58631589,1782792
116,58628787,3924118,nbro,What is the intuition behind the Iterator.get_next method?,58629331,1782792
117,58616157,12294052,Sr New,Why does Tensorflow show memory available less than GPU specs?,58616358,3756307
118,58615611,2905222,Brandon,How do I use my own Hand-Drawn Image in TensorFlow Number Recognition,58615761,8253769
119,58612735,2886575,Scott,tensorflow scatter_nd with empty tensors?,58613387,1782792
120,58597299,9235106,Jiawei Lu,minimization does not proceed as expected in TensorFlow 2.0,58604844,1782792
121,58579059,12121241,Jakub Balicki,Keras - how to pass a array of images to ImageDataGenerator.flow,58579740,6370655
122,58579059,12121241,Jakub Balicki,Keras - how to pass a array of images to ImageDataGenerator.flow,58579485,11220884
123,58572535,4105823,thebesttony,"How to merge two tf.data.Dataset into one, alternating elements with known ratio",58573644,10075090
124,58572535,4105823,thebesttony,"How to merge two tf.data.Dataset into one, alternating elements with known ratio",58572931,1440764
125,58537495,12238214,Naofumi,Tensorflow initialize a sparse tensor with only one line/column not zero?,58538703,1782792
126,58523031,6405137,Makis Kans,Error when applying gradients with get_weights(),58523478,1782792
127,58520594,2252698,Chris,"tf.Data.Dataset - On each Epoch, only train with a sub sample of the full dataset",58520774,3214872
128,58510249,3899975,A.E,Pytorch Autograd: what does runtime error &quot;grad can be implicitly created only for scalar outputs&quot; mean,58512759,2790047
129,58480861,2620232,user2620232,Repeating images in training dataset for tensorflow object detection models,58486136,6129428
130,58476704,8564860,John F,Neural Network prediction intervals - MVE method,58634964,349130
131,58474438,10561436,onexpeters,Difference between split() and tokenize(),58476399,1190882
132,58470877,10286273,Siddharth Gautam,How to fix datatype mismatch to predict images using my trained model?,58473735,1190882
133,58464790,7409920,ShawnChen,Is there an equivalent function of pytorch named &quot;index_select&quot; in tensorflow,58466468,7212365
134,58459444,247542,Cerin,Converting Tensorflow 1.5 to Tensorflow 2,58459633,7024006
135,58429502,74342,btel,How to load models trained on GPU into CPU (system) memory?,58429676,8842694
136,58360493,8100895,Jonathan,Passing sequence of letters to CNN - Keras,58360575,2846062
137,58343293,9625777,Pe Dro,AttributeError: &#39;google.protobuf.pyext._message.RepeatedCompositeCo&#39; object has no attribute &#39;append&#39;,58343607,8842694
138,58333926,11642693,Lauqz,Keras Image Classification Loss,58334412,12198896
139,58327692,2912518,Ruthvik Vaila,"Updating a slice in rank3 tensorflow tensor along the third axis (Z) given a location (X,Y)",58328316,7212365
140,58327372,1319915,trianta2,"Getting Keras / Tensorflow to output OneHotCategorical, but operation has None for gradient",58328560,5974433
141,58314493,4619817,JJTT,"tensorflow model: what is the difference between .data-00000-of-00002 and ,data-00001-of-00002?",58315908,5136550
142,58309294,11673522,FlightPanda24,Can&#39;t the two different methods to add_loss in Keras/Tensorflow be used together?,58309693,7212365
143,58300357,8270077,user8270077,How to find the shapes of activations in the different layers of a pretrained InceptionResNetV2 model in Keras - Tensorflow 2.0,58307282,9477338
144,58284012,8836053,maguro,How to accelerate the code which convert tensor to numpy array in tensorflow_datasets?,58284192,1190882
145,58253408,10133797,OverLordGoldDragon,How to get value of a Keras tensor in TensorFlow 2?,58257711,262432
146,58238146,7788402,PCG,How to use boundary boxes with images for multi label image training?,58245937,10878733
147,58225903,7537870,DVK,How to get the output of all layers of a Keras model?,58239241,10133797
148,58220747,1745048,bookmonkie,"Siamese network, lower part uses a dense layer instead of a euclidean distance layer",58222947,5136550
149,58206062,7656080,siby,Why is Python eval returning same object for Keras regularizer?,58206155,10133797
150,58198180,9805238,Hagbard,Run TensorFlow 2.0 on CPU without AVX,58443987,1726125
151,58195893,11694959,KScript,How can I reduce the loss rate of G and D in GAN?,58196123,8784825
152,58180690,1009508,MNM,Keras Model gets high accuracy in training and validation then messes up on Confusion metric,58180881,12118774
153,58641330,12302432,Sheldon Chan,AbortedError: Session 902faae618c6a822 is not found,58643712,12235886
154,58605279,4189632,Erdnase,Tensorflow - Value Error in model.fit - How to fix,58605509,12094550
155,58605279,4189632,Erdnase,Tensorflow - Value Error in model.fit - How to fix,58605401,6303377
156,58591088,12285749,ecda_123,How to see all the possible options for schema metadata in tensorflow?,58592418,1782792
157,58586581,7354198,Sanjeev Kumar,"@nd time giving error,during TENSORFLOW execution",58601771,5612363
158,58568566,10878733,Shubham Panchal,optimizer.apply_gradients does not update the weights in TF 2.0,58576890,10878733
159,58561927,12274735,ClockerDL,"How to fix &quot;ld: symbol(s) not found for architecture x86_64&quot; using C++, CMake and Tensorflow?",58572098,3987854
160,54665842,6104563,Dick,"When importing tensorflow, I get the following error: No module named &#39;numpy.core._multiarray_umath&#39;",56356627,6050100
161,54665842,6104563,Dick,"When importing tensorflow, I get the following error: No module named &#39;numpy.core._multiarray_umath&#39;",56179177,7994269
162,54665842,6104563,Dick,"When importing tensorflow, I get the following error: No module named &#39;numpy.core._multiarray_umath&#39;",54708388,5403632
163,55142951,8531952,Atul Kamble,Tensorflow 2.0 - AttributeError: module &#39;tensorflow&#39; has no attribute &#39;Session&#39;,58516620,238419
164,55142951,8531952,Atul Kamble,Tensorflow 2.0 - AttributeError: module &#39;tensorflow&#39; has no attribute &#39;Session&#39;,55143329,648946
165,55142951,8531952,Atul Kamble,Tensorflow 2.0 - AttributeError: module &#39;tensorflow&#39; has no attribute &#39;Session&#39;,58386580,12217934
166,57381430,11423611,Emilijus052,"&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow",58319636,8398247
167,57381430,11423611,Emilijus052,"&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow",58478238,12248686
168,57381430,11423611,Emilijus052,"&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow",57514105,992600
169,57381430,11423611,Emilijus052,"&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow",57382914,5810950
170,57381430,11423611,Emilijus052,"&quot;synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / &#39;(1,)type&#39;.&quot; problem in TensorFlow",57382739,901925
171,54767816,245549,Roman,How exactly does LSTMCell from TensorFlow operates?,54877479,9110142
172,54767816,245549,Roman,How exactly does LSTMCell from TensorFlow operates?,54866381,10809912
173,54767816,245549,Roman,How exactly does LSTMCell from TensorFlow operates?,54846729,8342910
174,54767816,245549,Roman,How exactly does LSTMCell from TensorFlow operates?,54809394,6901690
175,57086301,9933449,user_6396,Custom Neural Network Implementation on MNIST using Tensorflow 2.0?,57136842,10886420
176,57086301,9933449,user_6396,Custom Neural Network Implementation on MNIST using Tensorflow 2.0?,57123319,10202729
177,57086301,9933449,user_6396,Custom Neural Network Implementation on MNIST using Tensorflow 2.0?,57088397,2455494
178,54426123,7020624,Rodrigo Pereira,How to inform class weights when using `tensorflow.python.keras.estimator.model_to_estimator` to convert Keras Models to Estimator API?,54428538,2641587
179,54426123,7020624,Rodrigo Pereira,How to inform class weights when using `tensorflow.python.keras.estimator.model_to_estimator` to convert Keras Models to Estimator API?,54429884,7020624
180,55531427,11277304,Sophie Crommelinck,"How to define max_queue_size, workers and use_multiprocessing in keras fit_generator()?",55709360,11192099
181,54621746,7517192,Alex,Training a tf.keras model with a basic low-level TensorFlow training loop doesn&#39;t work,54680951,7517192
182,54621746,7517192,Alex,Training a tf.keras model with a basic low-level TensorFlow training loop doesn&#39;t work,54687015,6246880
183,55235230,8104036,lenikhilsingh,tensorflow: Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`,56262468,9924439
184,55235230,8104036,lenikhilsingh,tensorflow: Please use `rate` instead of `keep_prob`. Rate should be set to `rate = 1 - keep_prob`,55235994,7943474
185,56211215,239879,Shamoon,Why does my keras LSTM model get stuck in an infinite loop?,56267348,7454706
186,54989442,4729764,GRS,"RNN in Tensorflow vs Keras, depreciation of tf.nn.dynamic_rnn()",55937262,10923002
187,54497130,5495381,sdcbr,Inconsistency between image resizing with Keras (PIL) and TensorFlow?,54497253,2891324
188,56229630,3757672,Markus,Keras fit_generator() - How does batch for time series work?,56416231,2099607
189,54721703,3486308,user3486308,ModuleNotFoundError: No module named &#39;numpy.core._multiarray_umath&#39; (While installing TensorFlow),57372011,8089805
190,54721703,3486308,user3486308,ModuleNotFoundError: No module named &#39;numpy.core._multiarray_umath&#39; (While installing TensorFlow),55565967,4960010
191,54721703,3486308,user3486308,ModuleNotFoundError: No module named &#39;numpy.core._multiarray_umath&#39; (While installing TensorFlow),55510512,7120442
192,54721703,3486308,user3486308,ModuleNotFoundError: No module named &#39;numpy.core._multiarray_umath&#39; (While installing TensorFlow),54721829,8859876
193,54721703,3486308,user3486308,ModuleNotFoundError: No module named &#39;numpy.core._multiarray_umath&#39; (While installing TensorFlow),54721809,3486308
194,54820869,4948889,Jaffer Wilson,Calculating percentage of number with Tensorflow,54824559,9396051
195,54820869,4948889,Jaffer Wilson,Calculating percentage of number with Tensorflow,54821390,10878733
196,54050325,3259896,SantoshGupta7,Can a Tensorflow variable be trained using the Tensorflow Keras functional API model? Can a Tensorflow operation be used in the functional API Model?,54215447,5884955
197,54050325,3259896,SantoshGupta7,Can a Tensorflow variable be trained using the Tensorflow Keras functional API model? Can a Tensorflow operation be used in the functional API Model?,54214813,1868775
198,56961681,4790871,David Parks,"When training GANs in Keras, are multiple passes required to optimize the generator and discriminator?",57048027,2097240
199,55173766,10155767,Ben Mares,Why is AdamOptimizer duplicated in my graph?,55221619,1735003
200,54194724,8039154,I-PING Ou,How to use keras layers in custom keras layer,57726937,1790744
201,54194724,8039154,I-PING Ou,How to use keras layers in custom keras layer,54197775,7699696
202,56299034,3016483,Illuminati0x5B,How to implement neural network pruning?,56451791,3987085
203,56299034,3016483,Illuminati0x5B,How to implement neural network pruning?,56299140,7943474
204,54189142,1766088,asdf,Keras network producing inverse predictions,54298123,604048
205,54189142,1766088,asdf,Keras network producing inverse predictions,54261656,9487195
206,56907971,9933449,user_6396,Logistic Regression using Tensorflow 2.0?,56936811,10455493
207,57234308,3504926,Paulo Ribeiro,"Edge TPU Compiler: ERROR: quantized_dimension must be in range [0, 1). Was 3",58383492,6262757
208,57234308,3504926,Paulo Ribeiro,"Edge TPU Compiler: ERROR: quantized_dimension must be in range [0, 1). Was 3",58162918,1284889
209,57234308,3504926,Paulo Ribeiro,"Edge TPU Compiler: ERROR: quantized_dimension must be in range [0, 1). Was 3",58082806,11966678
210,57234308,3504926,Paulo Ribeiro,"Edge TPU Compiler: ERROR: quantized_dimension must be in range [0, 1). Was 3",57653268,11966678
211,56325746,1179925,mrgloom,Tensorflow: create tf.NodeDef() and set attributes,56402929,1179925
212,56325746,1179925,mrgloom,Tensorflow: create tf.NodeDef() and set attributes,56396218,10397400
213,54559111,6898433,Mikolaj,Different results while training with CudnnLSTM compared to regular LSTMCell in Tensorflow,54770064,10886420
214,54689096,9222818,Sai Krishnadas,How to install Keras with gpu support?,57649560,10819840
215,54689096,9222818,Sai Krishnadas,How to install Keras with gpu support?,56081613,3385948
216,54689096,9222818,Sai Krishnadas,How to install Keras with gpu support?,54689291,4685471
217,54689096,9222818,Sai Krishnadas,How to install Keras with gpu support?,55752297,1577186
218,55170460,6835329,Ameer Taweel,Neural network for square (x^2) approximation,55170820,9703830
219,55170460,6835329,Ameer Taweel,Neural network for square (x^2) approximation,55203161,4685471
220,56657993,11667181,ILM91,How to create a keras layer with a custom gradient in TF2.0?,56658149,5668710
221,55870127,10025471,&#214;mer &#199;iftci,Module &#39;tensorflow&#39; has no attribute &#39;contrib&#39;,57630944,11968821
222,55870127,10025471,&#214;mer &#199;iftci,Module &#39;tensorflow&#39; has no attribute &#39;contrib&#39;,57629649,5838180
223,55870127,10025471,&#214;mer &#199;iftci,Module &#39;tensorflow&#39; has no attribute &#39;contrib&#39;,55879831,10025471
224,55870127,10025471,&#214;mer &#199;iftci,Module &#39;tensorflow&#39; has no attribute &#39;contrib&#39;,55872941,11127923
225,54440859,9251158,miguelmorin,Eager execution in Tensorflow 2,54440944,5884955
226,55007886,3601960,joshwa,Save a model for TensorFlow Serving with api endpoint mapped to certain method using SignatureDefs?,55161668,3214872
227,54129098,2942412,Pranjal,Getting wrong prediction after loading a saved model,58332439,353308
228,54129098,2942412,Pranjal,Getting wrong prediction after loading a saved model,54216210,2942412
229,54129098,2942412,Pranjal,Getting wrong prediction after loading a saved model,54189819,8593338
230,54083955,5865579,jason,Should I use the standalone Keras library or tf.keras?,54117754,5495381
231,54502101,3776738,user3776738,Tensorflow-Deeplearning - Correlation between input and output,55423380,4023951
232,54212645,7826511,Artur M&#252;ller Romanov,How to configure tensorflow legacy/train.py model.cpk output interval,54376718,6154067
233,55533413,11277304,Sophie Crommelinck,How to select strategy to reduce overfitting?,55827001,11277304
234,55533413,11277304,Sophie Crommelinck,How to select strategy to reduce overfitting?,55543516,1967571
235,55318626,3604079,Hadi Rasekh,module &#39;tensorflow&#39; has no attribute &#39;logging&#39;,55318851,3604079
236,54255431,9277245,Ankish Bansal,InvalidArgumentError: cannot compute MatMul as input #0(zero-based) was expected to be a float tensor but is a double tensor [Op:MatMul],54255819,10921263
237,55421984,1653453,Ivan,Batch Normalization in tf.keras does not calculate average mean and average variance,57032720,11774761
238,55421984,1653453,Ivan,Batch Normalization in tf.keras does not calculate average mean and average variance,55442167,5786339
239,56820327,3604079,Hadi Rasekh,The name tf.Session is deprecated. Please use tf.compat.v1.Session instead,56820328,3604079
240,54200850,1559515,dhas,AttributeError: &#39;tuple&#39; object has no attribute &#39;type&#39; upon importing tensorflow,54526899,4943504
241,54200850,1559515,dhas,AttributeError: &#39;tuple&#39; object has no attribute &#39;type&#39; upon importing tensorflow,54397819,4767645
242,54200850,1559515,dhas,AttributeError: &#39;tuple&#39; object has no attribute &#39;type&#39; upon importing tensorflow,54227655,4549682
243,54200850,1559515,dhas,AttributeError: &#39;tuple&#39; object has no attribute &#39;type&#39; upon importing tensorflow,54227633,1973192
244,56507941,3552418,spacegoliath,How to trigger a python function inside a tf.keras custom loss function?,56508898,3552418
245,55925283,11406244,nadia,what is the difference between conv2d and Conv2D in Keras?,55930169,7201397
246,55256671,10715858,Andriy Rizhiy,How to install latest cuDNN to conda?,58350707,9905223
247,55256671,10715858,Andriy Rizhiy,How to install latest cuDNN to conda?,55647174,10887384
