AskerId,AnswererId
10133797,10133797
10133797,10133797
2593810,10133797
2593810,10133797
2066786,10133797
10133797,10133797
10629062,10133797
4684861,1665160
4684861,1782792
8733347,10133797
8733347,6590393
12205961,4228275
12205961,12297767
2991243,10133797
866082,2097240
11861082,10133797
7672661,2174693
11552661,4238408
9624112,10418086
9624112,1782792
4146344,2097240
5601592,12192957
5601592,9828197
9268287,9268287
9855577,10133797
9855577,7212365
2905222,4531017
2905222,11744692
11929946,6923568
11929946,1553225
10371314,10133797
10371314,12118774
10371314,12023442
4980684,774331
4607066,4607066
4607066,12118774
9119995,10133797
11368194,11207938
11368194,5597718
132785,1782792
11573842,11220884
5808336,1190882
2061651,1782792
11901732,2912518
11901732,8366805
9035706,12014856
2049763,8152837
12244488,10418086
3899975,3250829
11861082,2097240
2886575,7212365
2886575,2886575
238232,10133797
6657314,1782792
1543083,10133797
1543083,349130
12228795,774331
12213054,3214872
9299942,9299942
9299942,10133797
8334261,4373898
8334261,9393102
11687201,2042297
2593878,1782792
2066786,10133797
12157926,12199329
12157926,7553450
7238787,1190882
9855577,10133797
6748145,10133797
12229474,1358308
12229474,9594764
10371314,10133797
10133797,10133797
11861082,12192957
11861082,744616
7815941,11220884
7815941,8563649
7815941,2846923
1892346,8889727
6748145,10133797
6748145,523612
6748145,11292489
7537870,10133797
7537870,7212365
2034850,12192957
2034850,12134850
2034850,10411744
2034850,7212365
10392393,4615566
10392393,1782792
11355006,8455692
4896449,1782792
12209793,7331631
12209793,5136550
12209793,1190882
1709088,423926
7296485,7296485
7296485,7331631
7296485,7212365
7296485,11220884
1487087,4685471
11351872,8474894
635523,1782792
826983,5136550
826983,3214872
2163392,5974433
2163392,349130
1318499,2097240
10418086,4373898
6997665,3337089
6997665,1782792
5925476,7212365
6078821,11372593
1719931,1782792
3924118,1782792
12294052,3756307
2905222,8253769
2886575,1782792
9235106,1782792
12121241,6370655
12121241,11220884
4105823,10075090
4105823,1440764
12238214,1782792
6405137,1782792
2252698,3214872
3899975,2790047
2620232,6129428
8564860,349130
10561436,1190882
10286273,1190882
7409920,7212365
247542,7024006
74342,8842694
8100895,2846062
9625777,8842694
11642693,12198896
2912518,7212365
1319915,5974433
4619817,5136550
11673522,7212365
8270077,9477338
8836053,1190882
10133797,262432
7788402,10878733
7537870,10133797
1745048,5136550
7656080,10133797
9805238,1726125
11694959,8784825
1009508,12118774
12302432,12235886
4189632,12094550
4189632,6303377
12285749,1782792
7354198,5612363
10878733,10878733
12274735,3987854
6104563,6050100
6104563,7994269
6104563,5403632
8531952,238419
8531952,648946
8531952,12217934
11423611,8398247
11423611,12248686
11423611,992600
11423611,5810950
11423611,901925
245549,9110142
245549,10809912
245549,8342910
245549,6901690
9933449,10886420
9933449,10202729
9933449,2455494
7020624,2641587
7020624,7020624
11277304,11192099
7517192,7517192
7517192,6246880
8104036,9924439
8104036,7943474
239879,7454706
4729764,10923002
5495381,2891324
3757672,2099607
3486308,8089805
3486308,4960010
3486308,7120442
3486308,8859876
3486308,3486308
4948889,9396051
4948889,10878733
3259896,5884955
3259896,1868775
4790871,2097240
10155767,1735003
8039154,1790744
8039154,7699696
3016483,3987085
3016483,7943474
1766088,604048
1766088,9487195
9933449,10455493
3504926,6262757
3504926,1284889
3504926,11966678
3504926,11966678
1179925,1179925
1179925,10397400
6898433,10886420
9222818,10819840
9222818,3385948
9222818,4685471
9222818,1577186
6835329,9703830
6835329,4685471
11667181,5668710
10025471,11968821
10025471,5838180
10025471,10025471
10025471,11127923
9251158,5884955
3601960,3214872
2942412,353308
2942412,2942412
2942412,8593338
5865579,5495381
3776738,4023951
7826511,6154067
11277304,11277304
11277304,1967571
3604079,3604079
9277245,10921263
1653453,11774761
1653453,5786339
3604079,3604079
1559515,4943504
1559515,4767645
1559515,4549682
1559515,1973192
3552418,3552418
11406244,7201397
10715858,9905223
10715858,10887384
10715858,7492218
3041068,1373669
7431458,7679261
7431458,9257252
988709,2097240
988709,1714410
988709,11669446
9328846,11125723
9328846,9328846
9328846,11731732
6700151,5368083
6700151,9393102
3954958,3954958
3954958,8788960
3954958,7454706
4396475,5140223
1352749,8625500
4789373,11530462
7758413,2455494
6842947,5154274
7934786,7934786
7934786,5094841
2904830,2904830
3468778,86294
3468778,10443041
3468778,5440132
3468778,3355803
3468778,3468778
4183914,8491761
4183914,11122636
8217561,3343339
9557357,5150690
9557357,11232572
226526,5140223
226526,1190882
373655,423926
373655,1735003
373655,2154440
11210476,2891324
10724050,10651990
10724050,10724050
10724050,9032957
10595337,5154274
10595337,5786339
11762082,5668710
9820369,2891324
9820369,4909087
8244247,8150685
9744785,7699679
4561745,9393102
4561745,867889
11118883,1621414
4948889,5495381
1439305,817643
880783,880783
1217998,349130
1217998,367273
5116025,7454706
8531487,2455494
4352606,8346078
5748367,5748367
7169491,10886420
7886651,7886651
7934786,8380272
9163366,5154274
2366849,14692
5865579,7805917
10922166,10951310
3987085,1803124
11731187,5140223
11731187,9393102
11541245,4462831
9636774,9636774
9636774,5786339
2965599,2965599
2544048,10668553
8493740,3017342
8493740,5931672
8493740,6394698
8493740,10580541
8493740,402079
433570,2891324
433570,3197668
11332292,12262626
11332292,11332292
9673730,6055798
9673730,9673730
2378622,7846405
2378622,5495381
2378622,6280540
139150,12226012
139150,10809912
7611029,606314
8038245,1462770
4790871,9828197
4790871,4790871
3736306,10400883
3736306,3987085
3736306,9393102
3041068,1782792
7766158,5652313
6202519,6202519
3616293,3752281
3616293,901925
3987085,901925
3987085,9274732
3987085,3275464
6510273,9457030
6510273,6117017
6510273,5786339
5902558,5902558
10249197,3214872
1179925,834565
1179925,8049751
8100895,1699075
3926152,3641067
4411131,5154274
11303808,3584765
7248145,5154274
290443,1782792
7850499,2455494
7156572,4297035
9662374,8229032
9754177,5786339
1179925,8049751
11028575,1900721
2149707,9883438
4028648,5140223
11860666,11530462
11674382,8893595
11674382,11411463
8360375,5627599
8360375,5069957
4426009,3595278
4426009,4426009
3516936,5154274
10710212,5154274
10710212,5786339
4844311,4844311
2119562,4075155
3337089,11065347
587021,2641587
2451763,10878733
8917137,10952155
10420509,7059474
10918873,2097240
10712505,7389608
1866775,9883438
1866775,1782792
7212365,10133797
3504926,9867252
3674176,5140223
9839954,3767239
11478452,7389608
7560008,423926
820833,10886420
820833,1471022
10285105,5154274
9328846,5140223
7517192,7517192
10322320,9415153
6083655,9277245
5265527,8593338
5265527,1868775
10851981,10824677
10851981,10824677
10851981,10392672
10851981,4476294
5931672,5931672
4790871,4790871
8858832,472876
8858832,8858832
4166932,4166932
6714608,8860764
6714608,5597718
1269281,8375120
1269281,5154274
867889,2891324
867889,3987085
11043686,11708503
11043686,11708503
11043686,10353697
6197534,5786339
2543622,2097240
5048010,5495381
5048010,2641587
9144990,7389608
9144990,9698684
9144990,1782792
9144990,11015427
1930737,9393102
8100895,423926
8100895,7985142
11037865,6036772
11037865,5597718
2230045,2956066
2230045,4983450
2230045,7077050
7374225,8497354
7374225,9481613
7374225,10953776
7248145,1782792
4729764,10886420
4729764,5884955
930254,2650249
7212365,867889
2259468,9794742
11006135,7114624
11006135,7569024
11006135,5287913
3084689,2891324
1150683,10886420
10242641,5825953
7327257,1782792
1654930,2956066
1654930,5154274
7469434,3574081
8078072,10921263
11255365,9483495
10133610,1621414
583464,2966061
239879,10886420
239879,2097240
239879,6901690
239879,366553
3861775,9883438
3861775,2641587
3861775,1782792
5920668,3302563
5920668,3987085
5920668,2161778
72583,1782792
4877104,5495381
1492229,7730044
1492229,3572842
4850133,1782792
1273987,5763590
2084944,7405530
2084944,2084944
12118244,5786339
11541912,1699075
8946701,7389608
11766668,5668710
11766668,5298937
9328846,9328846
9039646,9039646
10870968,9565342
10870968,349130
1587329,1587329
1587329,5069957
3236215,5154274
10345968,453616
11277304,9849170
11277304,11277304
11277304,8625500
1435046,5154274
1435046,5499527
433570,11390620
7540723,2604336
11190642,2641587
10726895,1782792
82898,2540707
2547172,7131757
2243184,1782792
4345719,2641587
6919063,5884955
6919063,6919063
4541944,9698684
4541944,4932316
9134476,9134476
1917160,1917160
567620,4867484
567620,2097240
1519955,5597718
1519955,8234169
6878758,6878758
12010696,12010696
12010696,8563649
3736306,3987085
3736306,10878733
5535604,9074534
5535604,11530462
3201721,3201721
4958717,3214872
7655027,2455494
1886357,5140223
1886357,11666391
1419123,5118431
1419123,5298937
1133286,7059474
7886651,5668710
7886651,1440565
5113410,4909087
4788501,4788501
11640774,6117017
11597209,11478354
5856770,4255553
10929548,2455494
10168321,5228890
1447953,1447953
4727788,7389608
7105492,5154274
7105492,7105492
7105492,11374868
10227526,2891324
10378403,2653663
1050648,5154274
6617195,867889
6617195,5154274
6617195,5652313
6791416,4755954
11295709,328036
11249772,10886420
10463548,1782792
583464,2966061
6691064,3090511
9999035,10921263
8413477,1782792
8413477,1373669
3861775,2641587
3861775,5786339
11061454,2097240
11055762,11055762
11055762,5786339
10311158,9883438
9565342,1462770
6488190,6488190
6488190,6341510
3851047,9828197
12131586,9218240
2155179,4752675
11768065,9273406
4227746,3190076
5272461,11162165
5272461,11919358
5272461,10023182
11893504,1782792
11867828,2099607
5531816,5810950
9845070,11522398
11831676,2455494
6642021,2455494
10748773,5140223
7776975,5495304
7484435,5879698
7484435,11869182
888624,888624
2544048,6642182
8512669,2455494
6997665,921729
7934786,1699075
10609482,10609482
2680707,1782792
626537,867889
5349476,10951310
5349476,867889
4025960,11127923
11484456,2455494
988709,1621414
10092506,11530462
7133431,5154274
5807031,5154274
3187403,5154274
9929884,7093741
9186974,1427424
9186974,2641587
2647513,7389608
7034613,1782792
5368083,5368083
3466910,5786339
583464,1234909
4688722,4688722
8372455,9140084
8372455,11065347
11096006,1782792
11078155,11096626
1782553,5023986
1782553,7328782
2796123,1782792
1984680,10787274
10952448,10952448
6195861,7389608
5865579,1462770
10895943,5069957
4977634,9862053
4153034,5986252
3694044,931303
10449967,2455494
8419797,1801968
8419797,8419797
11208496,3987085
11208496,1782792
4790871,4790871
5597531,3987085
10897543,1782792
11351605,11351605
11384432,11384432
4556387,4556387
11328673,11329409
4688722,7389608
880783,880783
4406595,4406595
6510273,11147295
6510273,5154274
4699994,10455493
4699994,10001536
9371809,9371809
9371809,7674214
9371809,10722885
4537989,6904782
4537989,1487756
4283218,4283218
4283218,2292767
4283218,2292767
4283218,2292767
9400421,11086438
9929884,3595278
9929884,5786339
2110869,8112138
2110869,3769033
3314143,10787274
3314143,2641587
6714608,6858244
6714608,2878244
6714608,9362747
11867828,2099607
10938547,7645361
10938547,9155909
10938547,9687785
5989288,5810950
5989288,11669446
8316412,10371987
8316412,349130
1191087,887802
1191087,5154274
9772204,5154274
6637138,2097240
4426009,2097240
3854476,4936825
3854476,3854476
7766024,1782792
7766024,2455494
6458245,349130
6458245,3250829
6458245,11588671
2359080,1621414
2443944,9393102
4051544,5154274
4051544,1782792
7274157,5069957
7274157,1410665
3753287,11015427
3753287,3753287
6239947,3987085
7779411,1782792
7779411,5600318
1179925,1179925
3319713,5786339
7703497,10886420
11107475,9110909
11107475,4685471
336920,8112138
10843767,9973203
10843767,8726146
2723224,5495381
6714608,5495381
10709127,9393102
2890590,992432
2890590,10968882
3161801,10915600
5052482,1868775
5052482,3991470
4371768,841994
11713857,2036766
11713857,10418086
11713857,1782792
347484,3653343
347484,2160809
6249001,6249001
6249001,3325672
7748163,2097240
260826,443806
11499783,11499783
11499783,8474650
11499783,3411080
11801882,1782792
11801882,6265630
11718632,9393102
11733048,10685311
11733048,2455494
5368083,1466792
5368083,7059474
9364931,2097240
7713497,4790871
2163392,8625500
4332075,4917205
2184122,7721459
906835,5154274
5430317,7579547
10092506,423926
4947590,2956066
5652313,3607203
4975860,5154274
4975860,7259671
5046896,1803124
2961244,4789373
1435046,5154274
8807447,5154274
7622324,2099607
7622324,7469434
1093333,10127761
1093333,1849998
1093333,11339311
9301213,5154274
7560008,423926
3259896,1735003
4985990,5154274
4985990,10868996
1576254,5786339
6059213,9047837
10344561,11137398
7152553,11250738
